"State Name","County Name","Estimates: Total","county","Rent_At_Level","Gap","Total","At_This_Level","Above_This_Level","Vacant","Substandard","Substandard_Vacant"
Alabama,Cherokee County,26116,01019,Very low (31-50%),261.81871005,594.36040093,369.26016851,274.43070889,,36.718477629,
Alabama,Cherokee County,26116,01019,Low (51-80%),-20.43463103,719.52251598,772.04590354,367.82335851,,32.088756537,
Alabama,Cherokee County,26116,01019,Middle (81-120%),148.63001162,282.57263219,133.94262057,23.946833236,,0,
Alabama,Cherokee County,26116,01019,High (over 120%),198.12013364,341.64148751,,,196.52367809,,53.00232423
Alabama,Chilton County,43846,01021,Extremely low (0-30% AMI),405.59406566,904.05518635,498.46112069,712.16723529,,0,
Alabama,Chilton County,43846,01021,Very low (31-50%),419.85978797,735.104279,315.24449103,414.82482715,,0,
Alabama,Chilton County,43846,01021,Low (51-80%),-84.75517372,759.99936303,844.75453675,846.99229711,,0,
Alabama,Chilton County,43846,01021,Middle (81-120%),756.92244253,814.82449191,57.902049373,94.26565526,,0,
Alabama,Chilton County,43846,01021,High (over 120%),10.909081766,570.62889238,,,628.53094175,,68.811131139
,,,01023,Extremely low (0-30% AMI),140.63876736,273.3414495,138.14456915,193.69716568,,5.4418870078,
,,,01023,Very low (31-50%),47.333079703,164.27696405,117.79417919,115.52672627,,0.850294845,
,,,01023,Low (51-80%),18.366368651,158.04146852,146.02396804,54.192124786,,6.3488681758,
,,,01023,Middle (81-120%),93.532432947,109.57466235,16.042229408,0,,0,
,,,01023,High (over 120%),53.908693171,76.186418109,,,22.277724938,,0
Alabama,Clarke County,25347,01025,Extremely low (0-30% AMI),449.76089024,874.14228648,441.78447784,619.44093589,,17.403081605,
Alabama,Clarke County,25347,01025,Very low (31-50%),151.37055355,525.35552597,376.70420392,369.45291992,,2.7192315009,
Alabama,Clarke County,25347,01025,Low (51-80%),58.735400418,505.41449496,466.98268975,173.30568765,,20.303595206,
Alabama,Clarke County,25347,01025,Middle (81-120%),299.11546509,350.41829941,51.302834316,0,,0,
Alabama,Clarke County,25347,01025,High (over 120%),172.39927715,243.64314248,,,71.243865322,,0
,,,01027,Extremely low (0-30% AMI),188.84267868,397.50697269,210.57481116,185.67838466,,1.9105171412,
,,,01027,Very low (31-50%),97.914003486,222.27672865,138.09456711,102.63059268,,13.731841952,
,,,01027,Low (51-80%),-7.642068565,269.08439861,288.72690296,137.55723417,,12.000435793,
,,,01027,Middle (81-120%),55.584108077,105.67547937,50.091371296,8.9555490994,,0,
,,,01027,High (over 120%),74.092242882,127.76583382,,,73.495206275,,19.82161534
,,,01029,Extremely low (0-30% AMI),179.65325392,378.16356769,200.32786171,176.64294015,,1.8175479372,
,,,01029,Very low (31-50%),93.149331784,211.46034282,131.37463684,97.636403254,,13.063625799,
,,,01029,Low (51-80%),-7.270191749,255.99026729,274.67693202,130.86345148,,11.416472981,
,,,01029,Middle (81-120%),52.879285299,100.53312028,47.65383498,8.5197559558,,0,
,,,01029,High (over 120%),70.486780941,121.5485183,,,69.918797211,,18.857059849
Alabama,Coffee County,50906,01031,Extremely low (0-30% AMI),944.2989899,1490.7769697,546.4779798,1150.4553535,,0,
Alabama,Coffee County,50906,01031,Very low (31-50%),288.89939394,1379.9854545,1091.0860606,751.69939394,,0,
Alabama,Coffee County,50906,01031,Low (51-80%),183.25010101,985.43676768,802.18666667,568.44929293,,0,
Alabama,Coffee County,50906,01031,Middle (81-120%),380.99191919,522.63676768,181.84767677,337.04929293,,40.202828283,
Alabama,Coffee County,50906,01031,High (over 120%),245.89171717,1130.3539394,79.938181818,0,822.28808081,0,17.764040404
Alabama,Colbert County,54450,01033,Extremely low (0-30% AMI),833.81429127,1724.318506,890.50421476,313.14433926,,0,
Alabama,Colbert County,54450,01033,Very low (31-50%),81.323045001,970.8149397,889.4918947,591.53235637,,0,
Alabama,Colbert County,54450,01033,Low (51-80%),-499.7486707,1327.4890416,1827.2377124,876.33173389,,0,
Alabama,Colbert County,54450,01033,Middle (81-120%),654.97108027,906.36389573,251.39281546,125.52768772,,0,
Alabama,Colbert County,54450,01033,High (over 120%),160.28400986,860.80949293,24.633121515,0,838.53845156,11.472960705,151.1731293
,,,01035,Extremely low (0-30% AMI),250.60129351,487.06144189,246.15693361,345.14494959,,9.6967852387,
,,,01035,Very low (31-50%),84.341829941,292.72170439,209.89499715,205.85466996,,1.5151226936,
,,,01035,Low (51-80%),32.726650181,281.61080464,260.19707057,96.563819669,,11.312916112,
,,,01035,Middle (81-120%),166.66349629,195.24881111,28.585314818,0,,0,
,,,01035,High (over 120%),96.058778771,135.75499334,,,39.696214571,,0
,,,01037,Extremely low (0-30% AMI),61.939188093,138.06031443,76.121126332,108.75667096,,0,
,,,01037,Very low (31-50%),64.117738847,112.25943883,48.141699987,63.348838581,,0,
,,,01037,Low (51-80%),-12.94315448,116.06122348,129.00437796,129.34611141,,0,
,,,01037,Middle (81-120%),115.59133999,124.43369304,8.8423530588,14.395521646,,0,
,,,01037,High (over 120%),1.6659505763,87.142030145,,,95.984383203,,10.508303635
Alabama,Covington County,37932,01039,Extremely low (0-30% AMI),615.79393939,972.16181818,356.36787879,750.23212121,,0,
Alabama,Covington County,37932,01039,Very low (31-50%),188.39636364,899.91272727,711.51636364,490.19636364,,0,
Alabama,Covington County,37932,01039,Low (51-80%),119.50060606,642.62060606,523.12,370.69575758,,0,
Alabama,Covington County,37932,01039,Middle (81-120%),248.45151515,340.82060606,118.58606061,219.79575758,,26.216969697,
Alabama,Covington County,37932,01039,High (over 120%),160.35030303,737.12363636,52.129090909,0,536.22848485,0,11.584242424
,,,01041,Extremely low (0-30% AMI),191.34532162,368.91617564,179.91650611,251.03468121,,2.3456520908,
,,,01041,Very low (31-50%),61.935196695,217.69647702,160.40267702,131.05707214,,4.6413966903,
,,,01041,Low (51-80%),28.646900002,362.52801675,333.88111675,190.24735681,,0,
,,,01041,Middle (81-120%),107.50073625,193.39152876,85.890792516,24.005503312,,0,
,,,01041,High (over 120%),111.29370558,216.54860472,2.6450970385,0,150.02191883,0,47.412116729
Alabama,Cullman County,80566,01043,Extremely low (0-30% AMI),1324.1301343,1956.855131,632.72499674,1039.6590168,,0,
Alabama,Cullman County,80566,01043,Very low (31-50%),317.21293519,1923.6880949,1606.4751597,1145.1131829,,0,
Alabama,Cullman County,80566,01043,Low (51-80%),-20.41048377,1938.9959578,1964.5090625,907.84130917,,5.1026209415,
Alabama,Cullman County,80566,01043,Middle (81-120%),590.20315556,882.32820446,313.8111879,81.216716651,,21.686139001,
Alabama,Cullman County,80566,01043,High (over 120%),666.74246968,989.48324423,,,322.74077455,,0
Alabama,Dale County,50106,01045,Extremely low (0-30% AMI),838.3693967,1538.1081901,806.75766768,461.00438153,,107.01887428,
Alabama,Dale County,50106,01045,Very low (31-50%),290.43276036,1247.6754297,978.97573306,1192.3549039,,21.733063701,
Alabama,Dale County,50106,01045,Low (51-80%),151.47286822,1432.0771823,1280.6043141,1041.5406134,,0,
Alabama,Dale County,50106,01045,Middle (81-120%),702.70239299,1083.3602966,380.65790361,385.26794742,,0,
Alabama,Dale County,50106,01045,High (over 120%),544.97303674,1295.4223121,69.479946073,0,835.4057971,0,154.43646781
Alabama,Dallas County,42618,01047,Extremely low (0-30% AMI),2045.3338001,3784.7323648,1790.7481183,1369.6817784,,51.34955365,
Alabama,Dallas County,42618,01047,Very low (31-50%),181.61526343,2036.1449326,1854.5296692,575.11500088,,0,
Alabama,Dallas County,42618,01047,Low (51-80%),-587.0064765,949.69648171,1563.729039,594.03325748,,27.026080868,
Alabama,Dallas County,42618,01047,Middle (81-120%),432.41729389,725.92053212,293.50323823,24.323472781,,0,
Alabama,Dallas County,42618,01047,High (over 120%),569.16926308,569.16926308,,,,,
Alabama,DeKalb County,71137,01049,Extremely low (0-30% AMI),716.67229336,1603.411234,886.73894063,1203.9886496,,0,
Alabama,DeKalb County,71137,01049,Very low (31-50%),211.15308498,934.06635623,842.53201397,724.47351572,,119.61874272,
Alabama,DeKalb County,71137,01049,Low (51-80%),55.648719441,1070.3277066,1014.6789872,420.74592549,,0,
Alabama,DeKalb County,71137,01049,Middle (81-120%),602.25436554,717.71245634,115.4580908,147.70314319,,0,
Alabama,DeKalb County,71137,01049,High (over 120%),443.62951106,1064.6068102,33.805296857,0,598.61379511,11.441792782,0
Alabama,Elmore County,80443,01051,Extremely low (0-30% AMI),1351.0044474,2305.1544622,954.15001481,556.29594892,,0,
Alabama,Elmore County,80443,01051,Very low (31-50%),-30.48881661,750.2248152,834.19401504,800.70629844,,53.480383229,
Alabama,Elmore County,80443,01051,Low (51-80%),-72.97323319,1412.9817139,1566.9252469,1087.1012479,,80.970299842,
Alabama,Elmore County,80443,01051,Middle (81-120%),722.73489859,722.73489859,0,175.43564966,,0,
Alabama,Elmore County,80443,01051,High (over 120%),476.82509907,847.68906501,63.976533209,0,813.70153175,0,506.81409901
Alabama,Escambia County,38094,01053,Extremely low (0-30% AMI),810.79665208,1575.8409739,796.4173483,1116.6836599,,31.373026441,
Alabama,Escambia County,38094,01053,Very low (31-50%),272.87996956,947.07323569,679.0953015,666.02320715,,4.9020353814,
Alabama,Escambia County,38094,01053,Low (51-80%),105.88396424,911.12497622,841.84287617,312.42305497,,36.601864181,
Alabama,Escambia County,38094,01053,Middle (81-120%),539.22389195,631.70895948,92.485067529,0,,0,
Alabama,Escambia County,38094,01053,High (over 120%),310.78904318,439.22237017,,,128.43332699,,0
Alabama,Etowah County,104188,01055,Extremely low (0-30% AMI),1486,2840,1354,949,,0,
Alabama,Etowah County,104188,01055,Very low (31-50%),2076,2833,757,43,,0,
Alabama,Etowah County,104188,01055,Low (51-80%),-2420,2156,4840,2632,,264,
Alabama,Etowah County,104188,01055,Middle (81-120%),962,1603,641,92,,0,
Alabama,Etowah County,104188,01055,High (over 120%),1500,1876,,,534,,158
,,,01057,Extremely low (0-30% AMI),466.19820146,813.02021372,362.59860114,359.57475493,,15.776588882,
,,,01057,Very low (31-50%),-140.0172263,450.02719786,590.04442418,320.92211217,,0,
,,,01057,Low (51-80%),111.88230949,424.12729778,312.24498829,52.194214884,,0,
,,,01057,Middle (81-120%),161.57856447,179.45869853,17.880134066,29.186689432,,0,
,,,01057,High (over 120%),86.902710425,198.12766204,20.115150824,0,91.109800793,0,0
Alabama,Franklin County,31661,01059,Extremely low (0-30% AMI),834.9425416,1456.0870494,649.39975458,643.98416562,,28.255246755,
Alabama,Franklin County,31661,01059,Very low (31-50%),-250.7653149,805.98091368,1056.7462286,574.75881107,,0,
Alabama,Franklin County,31661,01059,Low (51-80%),200.37679157,759.59521692,559.21842535,93.47777468,,0,
Alabama,Franklin County,31661,01059,Middle (81-120%),289.38081885,321.40343183,32.022612989,52.272206496,,0,
Alabama,Franklin County,31661,01059,High (over 120%),155.63931754,354.83880716,36.025439612,0,163.17405001,0,0
Alabama,Geneva County,26837,01061,Extremely low (0-30% AMI),459.90707071,726.06121212,266.15414141,560.31252525,,0,
Alabama,Geneva County,26837,01061,Very low (31-50%),140.70424242,672.10181818,531.39757576,366.10424242,,0,
Alabama,Geneva County,26837,01061,Low (51-80%),89.249292929,479.94262626,390.69333333,276.85494949,,0,
Alabama,Geneva County,26837,01061,Middle (81-120%),185.55656566,254.54262626,88.566262626,164.15494949,,19.58020202,
Alabama,Geneva County,26837,01061,High (over 120%),119.7579798,550.52242424,38.932727273,0,400.48343434,0,8.6517171717
,,,01063,Extremely low (0-30% AMI),202.67880273,375.04148433,177.45107649,135.7262384,,5.0883948888,
,,,01063,Very low (31-50%),17.996849291,201.76824786,183.77139856,56.990022755,,0,
,,,01063,Low (51-80%),-58.16838789,94.108524418,154.95501488,58.864694556,,2.6781025731,
,,,01063,Middle (81-120%),42.849641169,71.933835113,29.084193944,2.4102923158,,0,
,,,01063,High (over 120%),56.400840189,56.400840189,,,,,
,,,01065,Extremely low (0-30% AMI),276.1995449,511.08594434,241.82058463,184.96026606,,6.9341851917,
,,,01065,Very low (31-50%),24.525118152,274.95869071,250.43357255,77.662874147,,0,
,,,01065,Low (51-80%),-79.26868545,128.24593033,211.16418694,80.217573954,,3.6495711535,
,,,01065,Middle (81-120%),58.393138456,98.027481183,39.634342727,3.2846140382,,0,
,,,01065,High (over 120%),76.859968493,76.859968493,,,,,
,,,01067,Extremely low (0-30% AMI),158.78304759,306.13570364,149.29913577,208.31474423,,1.9464797174,
,,,01067,Very low (31-50%),51.395347433,180.64988356,133.1060811,108.7543774,,3.8515449728,
,,,01067,Low (51-80%),23.77190123,300.8346525,277.06275127,157.87192942,,0,
,,,01067,Middle (81-120%),89.206751306,160.48104053,71.274289228,19.920356257,,0,
,,,01067,High (over 120%),92.354250423,179.69735094,2.1949664899,0,124.49187299,0,39.34373897
Alabama,Houston County,103112,01069,Extremely low (0-30% AMI),1707.6306033,3132.8918099,1643.2423323,938.99561847,,217.98112572,
Alabama,Houston County,103112,01069,Very low (31-50%),591.56723964,2541.3245703,1994.0242669,2428.6450961,,44.266936299,
Alabama,Houston County,103112,01069,Low (51-80%),308.52713178,2916.9228177,2608.3956859,2121.4593866,,0,
Alabama,Houston County,103112,01069,Middle (81-120%),1431.297607,2206.6397034,775.34209639,784.73205258,,0,
Alabama,Houston County,103112,01069,High (over 120%),1110.0269633,2638.5776879,141.52005393,0,1701.5942029,0,314.56353219
Alabama,Jackson County,53078,01071,Extremely low (0-30% AMI),661.32770664,1479.588766,818.26105937,1111.0113504,,0,
Alabama,Jackson County,53078,01071,Very low (31-50%),194.84691502,861.93364377,777.46798603,668.52648428,,110.38125728,
Alabama,Jackson County,53078,01071,Low (51-80%),51.351280559,987.67229336,936.32101281,388.25407451,,0,
Alabama,Jackson County,53078,01071,Middle (81-120%),555.74563446,662.28754366,106.5419092,136.29685681,,0,
Alabama,Jackson County,53078,01071,High (over 120%),409.37048894,982.39318976,31.194703143,0,552.38620489,10.558207218,0
Alabama,Jefferson County,658601,01073,Extremely low (0-30% AMI),20518,27913,7395,5200,,0,
Alabama,Jefferson County,658601,01073,Very low (31-50%),334,17071,16874,9518,,137,
Alabama,Jefferson County,658601,01073,Low (51-80%),-7844,19836,27872,14944,,192,
Alabama,Jefferson County,658601,01073,Middle (81-120%),10277,15266,5093,3198,,104,
Alabama,Jefferson County,658601,01073,High (over 120%),1717,11612,1604,0,10095,567,1237
,,,01075,Extremely low (0-30% AMI),337.79615445,589.09515485,262.73034235,260.53933514,,11.431341944,
,,,01075,Very low (31-50%),-101.4531598,326.07902896,427.53218871,232.53254738,,0,
,,,01075,Low (51-80%),81.06726662,307.31257593,226.24530931,37.818689598,,0,
,,,01075,Middle (81-120%),117.07599374,130.03151461,12.95552087,21.147982597,,0,
,,,01075,High (over 120%),62.967641876,143.55860258,14.574960979,0,66.015999727,0,0
Alabama,Lauderdale County,92693,01077,Extremely low (0-30% AMI),1637.1857087,3385.681494,1748.4957852,614.85566074,,0,
Alabama,Lauderdale County,92693,01077,Very low (31-50%),159.676955,1906.1850603,1746.5081053,1161.4676436,,0,
Alabama,Lauderdale County,92693,01077,Low (51-80%),-981.2513293,2606.5109584,3587.7622876,1720.6682661,,0,
Alabama,Lauderdale County,92693,01077,Middle (81-120%),1286.0289197,1779.6361043,493.60718454,246.47231228,,0,
Alabama,Lauderdale County,92693,01077,High (over 120%),314.71599014,1690.1905071,48.366878485,0,1646.4615484,22.527039295,296.8268707
Alabama,Lawrence County,33806,01079,Extremely low (0-30% AMI),227.22995283,507.40128032,303.71630728,245.20215633,,23.544979784,
Alabama,Lawrence County,33806,01079,Very low (31-50%),136.25438005,505.17216981,368.91778976,461.1472372,,0,
Alabama,Lawrence County,33806,01079,Low (51-80%),142.10579515,536.6583558,394.55256065,171.08423181,,0,
Alabama,Lawrence County,33806,01079,Middle (81-120%),149.35040431,183.06570081,33.715296496,13.096024259,,0,
Alabama,Lawrence County,33806,01079,High (over 120%),226.95131402,259.13409704,,,50.015667116,,17.832884097
Alabama,Lee County,147537,01081,Extremely low (0-30% AMI),5975.1128477,7221.2175719,1246.1061075,866.14805012,,0.0013833709,
Alabama,Lee County,147537,01081,Very low (31-50%),-1236.963473,3783.1283886,5232.094599,3117.0772922,,212.00273731,
Alabama,Lee County,147537,01081,Low (51-80%),-771.9831052,5462.2138044,6282.1969096,3599.1122002,,48,
Alabama,Lee County,147537,01081,Middle (81-120%),2281.0633996,3552.1140545,1271.0506549,407.01415748,,0,
Alabama,Lee County,147537,01081,High (over 120%),-234.9343635,2509.1277116,507.00155997,0,2334.0884769,97,0.0279617523
Alabama,Limestone County,87255,01083,Extremely low (0-30% AMI),1121.1885787,2372.1316629,1322.6735678,980.01202175,,71.730483643,
Alabama,Limestone County,87255,01083,Very low (31-50%),-237.1217899,1919.8184221,2156.940212,2173.8448482,,0,
Alabama,Limestone County,87255,01083,Low (51-80%),617.24766498,1430.9546164,813.70695139,1054.9406798,,0,
Alabama,Limestone County,87255,01083,Middle (81-120%),1704.6269712,1724.7297819,20.102810702,283.26687808,,0,
Alabama,Limestone County,87255,01083,High (over 120%),-253.112662,1526.4429672,168.58948066,0,1610.9661486,0,0
,,,01085,Extremely low (0-30% AMI),159.98839642,310.94883013,157.15103671,220.34677573,,6.1906030055,
,,,01085,Very low (31-50%),53.845349058,186.87882823,134.00076089,131.42134297,,0.9672817196,
,,,01085,Low (51-80%),20.893285144,179.78542895,166.11451398,61.648088263,,7.2223701731,
,,,01085,Middle (81-120%),106.40098916,124.65037093,18.249381777,0,,0,
,,,01085,High (over 120%),61.325661023,86.668442077,,,25.342781054,,0
Alabama,Macon County,20429,01087,Extremely low (0-30% AMI),415.92430436,801.907266,391.08166855,545.67012283,,5.0987069131,
Alabama,Macon County,20429,01087,Very low (31-50%),134.62755913,473.20339479,348.66476636,284.87668838,,10.0889307,
Alabama,Macon County,20429,01087,Low (51-80%),62.269314216,788.02142589,725.75211168,413.53767559,,0,
Alabama,Macon County,20429,01087,Middle (81-120%),233.672653,420.37211252,186.69945952,52.180383515,,0,
Alabama,Macon County,20429,01087,High (over 120%),241.91737056,470.70828289,5.749605668,0,326.10027619,0,103.05896952
Alabama,Madison County,343112,01089,Extremely low (0-30% AMI),8662.8114213,12303.868337,3726.3264322,2570.9879783,,85.269516357,
Alabama,Madison County,343112,01089,Very low (31-50%),-3787.87821,9516.1815779,13537.059788,8891.1551518,,233,
Alabama,Madison County,343112,01089,Low (51-80%),2563.752335,7806.0453836,5242.2930486,5159.0593202,,0,
Alabama,Madison County,343112,01089,Middle (81-120%),5741.3730288,5854.2702181,112.8971893,419.73312192,,0,
Alabama,Madison County,343112,01089,High (over 120%),-1309.887338,5146.5570328,967.41051934,0,6470.0338514,521,460
Alabama,Marengo County,20411,01091,Extremely low (0-30% AMI),543.78855242,1006.2387537,476.10239804,364.15438474,,13.652196744,
Alabama,Marengo County,20411,01091,Very low (31-50%),48.285664274,541.34552774,493.05986347,152.90460354,,0,
Alabama,Marengo County,20411,01091,Low (51-80%),-156.0661649,252.4937861,415.7453177,157.93436023,,7.1853667075,
Alabama,Marengo County,20411,01091,Middle (81-120%),114.96586732,192.99894976,78.033082444,6.4668300368,,0,
Alabama,Marengo County,20411,01091,High (over 120%),151.32382286,151.32382286,,,,,
Alabama,Marion County,30538,01093,Extremely low (0-30% AMI),766.46144986,1336.6603514,596.13668322,591.16527506,,25.937781721,
Alabama,Marion County,30538,01093,Very low (31-50%),-230.1978128,739.8752236,970.07303637,527.61770984,,0,
Alabama,Marion County,30538,01093,Low (51-80%),183.94210204,697.29403194,513.3519299,85.810827861,,0,
Alabama,Marion County,30538,01093,Middle (81-120%),265.64611446,295.04226708,29.396152617,47.984896184,,0,
Alabama,Marion County,30538,01093,High (over 120%),142.87394765,325.73530878,33.070671694,0,149.79068944,0,0
Alabama,Marshall County,94365,01095,Extremely low (0-30% AMI),1465.0295997,2165.0822793,700.05267962,1150.2881732,,0,
Alabama,Marshall County,94365,01095,Very low (31-50%),350.96727083,2128.3859695,1777.4186987,1266.9636198,,0,
Alabama,Marshall County,94365,01095,Low (51-80%),-22.5823445,2145.3227279,2173.5506585,1004.4438649,,5.645586126,
Alabama,Marshall County,94365,01095,Middle (81-120%),653.00612857,976.21593428,347.20354675,89.858912505,,23.993741035,
Alabama,Marshall County,94365,01095,High (over 120%),737.68992046,1094.7732429,,,357.08332247,,0
Alabama,Mobile County,413553,01097,Extremely low (0-30% AMI),10986,14612,3821,4922,,195,
Alabama,Mobile County,413553,01097,Very low (31-50%),7180,10546,3366,2080,,0,
Alabama,Mobile County,413553,01097,Low (51-80%),-9362,8808,18435,8199,,265,
Alabama,Mobile County,413553,01097,Middle (81-120%),2740,8950,6293,4040,,83,
Alabama,Mobile County,413553,01097,High (over 120%),3525,9740,1500,0,5988,375,898
Alabama,Monroe County,22556,01099,Extremely low (0-30% AMI),390.29617653,758.56838501,383.374358,537.5421343,,15.102149515,
Alabama,Monroe County,22556,01099,Very low (31-50%),131.35723797,455.89613848,326.89861138,320.60604908,,2.3597108617,
Alabama,Monroe County,22556,01099,Low (51-80%),50.969754613,438.59159216,405.24101198,150.39223892,,17.619174434,
Alabama,Monroe County,22556,01099,Middle (81-120%),259.56819479,304.08807305,44.519878258,0,,0,
Alabama,Monroe County,22556,01099,High (over 120%),149.60566863,211.43009321,,,61.824424577,,0
Alabama,Montgomery County,229162,01101,Extremely low (0-30% AMI),6838.4805631,9503.3956185,2664.9150555,1855.1390554,,0,
Alabama,Montgomery County,229162,01101,Very low (31-50%),1469.5799799,6562.9745931,5317.65596,4441.6044625,,224.26134674,
Alabama,Montgomery County,229162,01101,Low (51-80%),-2778.36595,5649.5310957,8841.946935,6155.910553,,414.04988946,
Alabama,Montgomery County,229162,01101,Middle (81-120%),2718.1860504,4678.1860504,1960,497.94142717,,0,
Alabama,Montgomery County,229162,01101,High (over 120%),1967.4049046,6649.4976082,1308.4715176,0,4727.3408645,0,1353.7196785
Alabama,Morgan County,119953,01103,Extremely low (0-30% AMI),1403.7700472,3134.5987197,1876.2836927,1514.7978437,,145.45502022,
Alabama,Morgan County,119953,01103,Very low (31-50%),841.74561995,3120.8278302,2279.0822102,2848.8527628,,0,
Alabama,Morgan County,119953,01103,Low (51-80%),877.89420485,3315.3416442,2437.4474394,1056.9157682,,0,
Alabama,Morgan County,119953,01103,Middle (81-120%),922.64959569,1130.9342992,208.2847035,80.903975741,,0,
Alabama,Morgan County,119953,01103,High (over 120%),1402.048686,1600.865903,,,308.98433288,,110.1671159
